/SiMCosta RJ-3 buoy 
/L1 data
/missing = NULL
/latitude = -22.983083
/longitude = -43.174472
/Sensor Mount = Buoy
/Ocean Sensors Orientation = Downward
/Ocean Sensors Average Measuring Depth = 0.5m
/Acknowledging or Crediting SiMCosta as Information Source : (Product or data name) courtesy of the Brazilian Coastal Monitoring System - SiMCosta  (www.simcosta.furg.br)
/Disclaimer: All products published on this website are not intended to be used for navigational or operational purposes.
/*Magnetic Declination Reference: Chulliat, A., S. Macmillan, P. Alken, C. Beggan, M. Nair, B. Hamilton, A. Woods, V. Ridley, S. Maus and A. Thomson, 2014. The US/UK World Magnetic Model for 2015-2020, NOAA National Geophysical Data Center, Boulder, CO, doi: 10.7289/V5TH8JNW 
/YEAR MONTH DAY HOUR MINUTE SECOND = Date/Time Data Acquisition (UTC)
/Average Salinity (psu)
YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,Avg_Sal
2016,7,15,0,25,0,NULL
2016,7,15,1,25,0,NULL
2016,7,15,2,25,0,NULL
2016,7,15,3,25,0,NULL
2016,7,15,4,25,0,NULL
2016,7,15,5,25,0,NULL
2016,7,15,6,25,0,NULL
2016,7,15,7,25,0,NULL
2016,7,15,8,25,0,NULL
2016,7,15,9,25,0,NULL
2016,7,15,12,25,0,NULL
2016,7,15,13,25,0,NULL
2016,7,15,14,25,0,NULL
2016,7,15,15,25,0,NULL
2016,7,15,16,25,0,NULL
2016,7,15,17,25,0,NULL
2016,7,15,18,25,0,NULL
2016,7,15,19,25,0,NULL
2016,7,15,20,25,0,NULL
2016,7,15,21,25,0,NULL
2016,7,15,22,25,0,NULL
2016,7,15,23,25,0,NULL
2016,7,16,0,25,0,NULL
2016,7,16,1,25,0,NULL
2016,7,16,2,25,0,NULL
2016,7,16,3,25,0,NULL
2016,7,16,4,25,0,NULL
2016,7,16,5,25,0,NULL
2016,7,16,6,25,0,NULL
2016,7,16,7,25,0,NULL
2016,7,16,8,25,0,NULL
2016,7,16,9,25,0,NULL
2016,7,16,10,25,0,NULL
2016,7,16,11,25,0,NULL
2016,7,16,12,25,0,NULL
2016,7,16,13,25,0,NULL
2016,7,16,14,25,0,NULL
2016,7,16,15,25,0,NULL
2016,7,16,16,25,0,NULL
2016,7,16,17,25,0,NULL
2016,7,16,18,25,0,NULL
2016,7,16,19,25,0,NULL
2016,7,16,20,25,0,NULL
2016,7,16,21,25,0,NULL
2016,7,16,22,25,0,NULL
2016,7,16,23,25,0,NULL
2016,7,17,0,25,0,NULL
2016,7,17,1,25,0,NULL
2016,7,17,2,25,0,NULL
2016,7,17,3,25,0,NULL
2016,7,17,4,25,0,NULL
2016,7,17,5,25,0,NULL
2016,7,17,6,25,0,NULL
2016,7,17,7,25,0,NULL
2016,7,17,8,25,0,NULL
2016,7,17,9,25,0,NULL
2016,7,17,10,25,0,NULL
2016,7,17,11,25,0,NULL
2016,7,17,12,25,0,NULL
2016,7,17,13,25,0,NULL
2016,7,17,14,25,0,NULL
2016,7,17,15,25,0,NULL
2016,7,17,16,25,0,NULL
2016,7,17,17,25,0,NULL
2016,7,17,18,25,0,NULL
2016,7,17,19,25,0,NULL
2016,7,17,20,25,0,NULL
2016,7,17,21,25,0,NULL
2016,7,17,22,25,0,NULL
2016,7,17,23,25,0,NULL
2016,7,18,0,25,0,NULL
2016,7,18,1,25,0,NULL
2016,7,18,2,25,0,NULL
2016,7,18,3,25,0,NULL
2016,7,18,4,25,0,NULL
2016,7,18,5,25,0,NULL
2016,7,18,6,25,0,NULL
2016,7,18,7,25,0,NULL
2016,7,18,8,25,0,NULL
2016,7,18,9,25,0,NULL
2016,7,18,10,25,0,NULL
2016,7,18,11,25,0,NULL
2016,7,18,12,25,0,NULL
2016,7,18,13,25,0,NULL
2016,7,18,14,25,0,NULL
2016,7,18,15,25,0,NULL
2016,7,18,16,25,0,NULL
2016,7,18,17,25,0,NULL
2016,7,18,18,25,0,NULL
2016,7,18,19,25,0,NULL
2016,7,18,20,25,0,NULL
2016,7,18,21,25,0,NULL
2016,7,18,22,25,0,NULL
2016,7,18,23,25,0,NULL
2016,7,19,0,25,0,NULL
2016,7,19,1,25,0,NULL
2016,7,19,2,25,0,NULL
2016,7,19,3,25,0,NULL
2016,7,19,4,25,0,NULL
2016,7,19,5,25,0,NULL
2016,7,19,7,25,0,NULL
2016,7,19,8,25,0,NULL
2016,7,19,9,25,0,NULL
2016,7,19,10,25,0,NULL
2016,7,19,11,25,0,NULL
2016,7,19,12,25,0,NULL
2016,7,19,13,25,0,NULL
2016,7,19,14,25,0,NULL
2016,7,19,15,25,0,NULL
2016,7,19,16,25,0,NULL
2016,7,19,17,25,0,NULL
2016,7,19,18,25,0,NULL
2016,7,19,19,25,0,NULL
2016,7,19,21,25,0,NULL
2016,7,19,22,25,0,NULL
2016,7,19,23,25,0,NULL
2016,7,20,0,25,0,NULL
2016,7,20,1,25,0,NULL
2016,7,20,2,25,0,NULL
2016,7,20,3,25,0,NULL
2016,7,20,4,25,0,NULL
2016,7,20,5,25,0,NULL
2016,7,20,6,25,0,NULL
2016,7,20,7,25,0,NULL
2016,7,20,8,25,0,NULL
2016,7,20,9,25,0,NULL
2016,7,20,10,25,0,NULL
2016,7,20,11,25,0,NULL
2016,7,20,12,25,0,NULL
2016,7,20,13,25,0,NULL
2016,7,20,14,25,0,NULL
2016,7,20,15,25,0,NULL
2016,7,20,17,25,0,NULL
2016,7,20,18,25,0,NULL
2016,7,20,19,25,0,NULL
2016,7,20,20,25,0,NULL
